config,bita,abar,sigma_e,gov,T_max_frac,phi0,phib,phie,phiy,loan/gdp,bailout/y,def_prob,defprob_bc,g/y,std_y,debty,avg_welf,avg_welf_b1,avg_welf_b2,avg_welf_b3,avg_welf_b4,avg_welf_b5,avg_welf_b6,avg_welf_b7,avg_welf_b8,avg_welf_b9,avg_welf_b10,avg_welf_b11,avg_welf_b12,avg_welf_b13,avg_welf_b14,avg_welf_b15,avg_welf_b16,avg_welf_b17,avg_welf_b18,avg_welf_b19,avg_welf_b20,conv,convq,iter,avg_spread,std_spread,corr_spread_y,avg_rate,prob_Tmax_binding,prob_Tmax_negative
1,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.8000000000,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
2,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.7878635356,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
3,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.7757581513,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
4,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.7636841695,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
5,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.7516419205,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
6,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.7396317421,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
7,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.7276539808,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
8,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.7157089912,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
9,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.7037971371,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
10,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,-.6919187913,.000000000,.000000000,.000000000,36.37389957,.000000000,.3341144039,.3065603924,19.26142407,5.255255382,26.92317117,.000000000,.1121000000E-06,.1545000000E-06,.1032000000E-06,.1205000000E-06,.1690000000E-06,.1485000000E-06,.2089000000E-06,.1252000000E-06,.2280000000E-07,-.4900000000E-08,-.1490000000E-07,-.1710000000E-07,-.6100000000E-07,-.1391000000E-06,-.1689000000E-06,-.1975000000E-06,-.2276000000E-06,-.2518000000E-06,-.2607000000E-06,-.2625000000E-06,.4011168000E-03,.6642260500E-02,100,.3357922792,.5055804029,-.3262362654,.2218313470,100.3216864,100.0000000
