table_name,panel_name,param_name,param_value,model,default_freq_uncond,spread_mean,spread_sd,corr_spread_y,debt_gdp,mean_lending_rate,welfare_gain_of_bailouts
Sensitivity,Low A,AA,0.26,Model without bailouts,0.3616815989,0.3735111773,0.4516491171,-0.3950544628,33.3528302465,0.2858864799,NaN
Sensitivity,Low A,AA,0.26,Baseline model,0.6084079945,0.6519983107,0.7195200085,-0.4649827778,22.8901835716,0.0550342048,-1.8821540735
Sensitivity,High A,AA,0.3,Model without bailouts,0.4339076499,-0.145433893,0.8498401362,-0.042177374,19.7939125853,0.7693574854,NaN
Sensitivity,High A,AA,0.3,Baseline model,0.6154376292,0.6388452578,0.9572279913,-0.2116690647,10.4989791092,0.0004074772,-0.8217961622
Sensitivity,Low sigma_e,sig_e,3.76,Model without bailouts,0.2726395589,0.2828457232,0.4209951489,-0.3900206144,34.0096384117,0.2148170373,NaN
Sensitivity,Low sigma_e,sig_e,3.76,Baseline model,0.4074431427,0.4361238263,0.5593454429,-0.2569107616,21.9408818235,0.0107358127,-1.8723765055
Sensitivity,High sigma_e,sig_e,4.76,Model without bailouts,0.4195727085,0.3516511348,0.6657497265,-0.2836138768,22.2482034957,0.296503131,NaN
Sensitivity,High sigma_e,sig_e,4.76,Baseline model,0.738662991,0.7848794863,1.0394348244,-0.2763443665,12.1888927525,0.0133092528,-1.309632571
Sensitivity,Low omega,omega,2.3,Model without bailouts,0.4653342522,0.3859645867,0.7723010313,-0.2925084621,22.797577292,0.3466087284,NaN
Sensitivity,Low omega,omega,2.3,Baseline model,0.7171605789,0.7618765429,1.0640647376,-0.3131193742,12.5957474258,0.0040758571,-1.3449545558
Sensitivity,High omega,omega,2.7,Model without bailouts,0.3185389387,0.3263282542,0.4612117333,-0.3264271493,30.4983312084,0.2278792995,NaN
Sensitivity,High omega,omega,2.7,Baseline model,0.6088215024,0.6436233789,0.6401243575,-0.3903040689,19.9456669458,0.0305010946,-1.7985205704
Sensitivity,Low beta,beta,0.76,Model without bailouts,0.549965541,0.5625767972,0.6801538311,-0.414905584,26.7949121632,0.3633823669,NaN
Sensitivity,Low beta,beta,0.76,Baseline model,0.8638180565,0.9209539728,1.1059791264,-0.2799264123,15.9995979428,0.0255012902,-2.2873013199
Sensitivity,High beta,beta,0.86,Model without bailouts,0.2013783598,0.202967429,0.4491783656,-0.4576591943,26.3916641944,0.1238398952,NaN
Sensitivity,High beta,beta,0.86,Baseline model,0.3372846313,0.3613311414,0.5886726494,-0.2931901742,15.2581801801,0.00551732,-0.976654231
Sensitivity,Low gamma,gamma_firm,0.49,Model without bailouts,0.4115782219,0.3707803552,0.6642361413,-0.1989504345,21.9294575976,0.2789367846,NaN
Sensitivity,Low gamma,gamma_firm,0.49,Baseline model,0.6623018608,0.7004238177,0.9647326481,-0.14097235,12.2427888904,0.0016310449,-1.2628686609
Sensitivity,High gamma,gamma_firm,0.55,Model without bailouts,0.3631977946,0.3731999083,0.4625916983,-0.3944024442,33.3539078339,0.2721773134,NaN
Sensitivity,High gamma,gamma_firm,0.55,Baseline model,0.6126809097,0.6412114658,0.7060133528,-0.4603325627,22.0822206848,0.0493979569,-1.8205643716
Sensitivity,Low pi,pi,0.01,Model without bailouts,0.3341144039,0.3379581577,0.5063285449,-0.3276111852,26.9212586006,0.2172243495,NaN
Sensitivity,Low pi,pi,0.01,Baseline model,0.4915230875,0.5200704691,0.6593883849,-0.2754613226,15.5983175433,0.0110867452,-1.4446361197
Sensitivity,High pi,pi,0.1,Model without bailouts,0.3341144039,0.3379581577,0.5063285449,-0.3276111852,26.9212586006,0.2172243495,NaN
Sensitivity,High pi,pi,0.1,Baseline model,0.6212267402,0.6529799108,0.8376717867,-0.2823190301,16.5620468707,0.0170856576,-1.7104810768
Sensitivity,Low alpha,alpha,0.65,Model without bailouts,0.4948311509,-0.0330104531,0.9503914332,-0.0493495331,18.6080609438,0.7440917473,NaN
Sensitivity,Low alpha,alpha,0.65,Baseline model,0.6217780841,0.664392927,1.125565497,-0.3316374616,10.0637910962,0.0006621742,-0.898791142
Sensitivity,High alpha,alpha,0.75,Model without bailouts,0.3514817367,0.3666351741,0.4465322972,-0.4647755781,38.7042350491,0.3025607567,NaN
Sensitivity,High alpha,alpha,0.75,Baseline model,0.6147484493,0.6520246467,0.6606799218,-0.5665356046,28.1350552827,0.0852065888,-1.913930762
Sensitivity,Low theta,prob_excl_end,0.4,Model without bailouts,0.2417643005,0.2473473148,0.3709106543,-0.4000333368,34.5963842048,0.1718440729,NaN
Sensitivity,Low theta,prob_excl_end,0.4,Baseline model,0.4380427292,0.4644841397,0.5364629382,-0.451528549,24.4769626813,0.0122846433,-1.7479456772
Sensitivity,High theta,prob_excl_end,0.6,Model without bailouts,0.4377670572,0.101029049,0.8358135117,-0.1244304004,21.8424779279,0.5968266589,NaN
Sensitivity,High theta,prob_excl_end,0.6,Baseline model,0.7552033081,0.7999075796,1.2441334279,-0.2177652578,10.2144343253,0.0167905116,-1.047551529
