Series Name,Series Code,Country Name,Country Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current LCU),NY.GDP.MKTP.CN,Austria,AUT,2.84E+11,2.94E+11,2.88E+11,2.96E+11,3.10E+11,3.19E+11,3.24E+11,3.33E+11,3.44E+11,3.57E+11,3.70E+11,3.86E+11,3.99E+11,..
GDP (current LCU),NY.GDP.MKTP.CN,Belgium,BEL,3.44E+11,3.52E+11,3.46E+11,3.63E+11,3.76E+11,3.86E+11,3.93E+11,4.03E+11,4.17E+11,4.30E+11,4.46E+11,4.60E+11,4.73E+11,..
GDP (current LCU),NY.GDP.MKTP.CN,Bulgaria,BGR,63454890000,72790342000,73147248000,74406713000,80681918000,82209022000,81919394000,83857173000,89332814000,95091969000,1.02E+11,1.10E+11,1.19E+11,..
GDP (current LCU),NY.GDP.MKTP.CN,Cyprus,CYP,17511579000,19009576000,18675493000,19409974000,19803033000,19440777000,17994967000,17408532000,17826948000,18872872000,20039696000,21137818000,21943600000,..
GDP (current LCU),NY.GDP.MKTP.CN,Czechia,CZE,3.84E+12,4.02E+12,3.93E+12,3.96E+12,4.03E+12,4.06E+12,4.10E+12,4.31E+12,4.60E+12,4.77E+12,5.05E+12,5.32E+12,5.65E+12,..
GDP (current LCU),NY.GDP.MKTP.CN,Germany,DEU,2.50E+12,2.55E+12,2.45E+12,2.56E+12,2.69E+12,2.75E+12,2.81E+12,2.93E+12,3.03E+12,3.13E+12,3.24E+12,3.34E+12,3.44E+12,..
GDP (current LCU),NY.GDP.MKTP.CN,Denmark,DNK,1.74E+12,1.80E+12,1.72E+12,1.81E+12,1.85E+12,1.90E+12,1.93E+12,1.98E+12,2.04E+12,2.11E+12,2.18E+12,2.25E+12,2.32E+12,..
GDP (current LCU),NY.GDP.MKTP.CN,Greece,GRC,2.33E+11,2.42E+11,2.38E+11,2.26E+11,2.07E+11,1.91E+11,1.81E+11,1.79E+11,1.77E+11,1.76E+11,1.80E+11,1.85E+11,1.87E+11,..
GDP (current LCU),NY.GDP.MKTP.CN,Spain,ESP,1.08E+12,1.11E+12,1.07E+12,1.07E+12,1.06E+12,1.03E+12,1.02E+12,1.03E+12,1.08E+12,1.11E+12,1.16E+12,1.20E+12,1.25E+12,..
GDP (current LCU),NY.GDP.MKTP.CN,Finland,FIN,1.87E+11,1.94E+11,1.82E+11,1.88E+11,1.98E+11,2.01E+11,2.04E+11,2.07E+11,2.11E+11,2.18E+11,2.26E+11,2.34E+11,2.40E+11,..
