country,Year,REVENUE,Guarantee fees receivable ,Interest receivable,Dividends receivable,Other,EXPENDITURE,Interest payable (2),Capital injections recorded as deficit-increasing (capital transfer),Other capital transfer (e.g. asset purchase),Calls on guarantees,Other,       of which net acquisition of NFA,Net revenue/cost for general government (A-B),Assets ,Loans,Debt securities ,Equity and investment funds shares/ units,Other assets of general government entities (5),Liabilities ,Loans,Debt securities (3),      of which indirect liabilities (9),Other liabilities of general government entities (5),Contingent liabilities,Liabilities and assets outside general government under guarantee (6),Securities issued under liquidity schemes (7),Special purpose entities (8),Other contingent liabilities
Austria,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2008,2.59096524,2.59096524,0,0,0,0.44,0.14,0,0,0,0.3,0,2.15096524,900,0,0,900,0,897.5490348,0,897.5490348,897.5490348,0,7000,5700,0,1300,0
Austria,2009,120.044777,63.27277704,54.37841667,0,2.393583333,2776.615556,182.132,2590.457556,0,0,4.026,0,-2656.570778,23040.956,0,0,5643.765,17397.191,22844.91081,0,6681.527813,6681.527813,16163.383,16550.55271,15350.55271,0,1200,0
Austria,2010,876.9089586,117.9499586,472.104,263.495,23.36,1203.921,540.903,600,0,0,63.018,0,-327.0120414,21217.36643,0,0,5643.765,15573.60143,22179.43485,0,7043.036855,7043.036855,15136.398,15629.98081,14859.98081,0,770,0
Austria,2011,911.8678647,161.4477461,435.869,289.07,25.48111859,1204.262,514.225,624.847,0,0,65.19,0,-292.3941353,17966.24298,0,0,5018.765,12947.47798,20380.06711,0,6757.192109,6757.192109,13622.875,10048.35,10048.35,0,0,0
Austria,2012,770.0322841,120.3052841,338.312,289.07,22.345,2088.959,478.054,1555.25,0,0,55.655,0,-1318.926715,15301.979,0,0,4433.565,10868.414,18841.08412,0,8740.335119,8740.335119,10100.749,6383.55,6383.55,0,0,0
Austria,2013,682.8743746,116.495,261.716,289.576763,15.08661156,2185.699,393.712,1750,0,0,41.987,0,-1502.824625,11322.211,0,0,3009.565,8312.646,16496.20936,0,9238.287356,9238.287356,7257.922,3155.589,3155.589,0,0,0
Austria,2014,628.9561941,75.13301752,265.222,252.35,36.25117654,5967.87,437.676,5422.14,0,0,108.054,0,-5338.913806,25996.749,0,0,634.565,25362.184,28074.10134,0,7779.540338,7779.540338,20294.561,100,100,0,0,0
Austria,2015,582.2922379,0,541.356,0,40.93623786,2813.352583,882.552,1751.072583,0,0,179.728,0,-2231.060345,31808.8,1230,0,406.8,30172,37295.23362,0,9240.233624,9240.233624,28055,1700,1700,0,0,0
Austria,2016,478.0374762,0,403.116,0,74.92147622,712.4729756,528.062,17.80797561,0,0,166.603,0,-234.4354994,28734.87134,1230,0,360.8713437,27144,33214.35753,0,11603.35753,11603.35753,21611,1700,1700,0,0,0
Austria,2017,386.2913595,0,327.4769505,0,58.81440901,702.707419,374.1474345,171.1699845,0,0,157.39,0,-316.4160595,20294.47634,1230,0,347.4763437,18717,26474.84214,0,11950.84214,11950.84214,14524,0,0,0,0,0
Austria,2018,392.8745361,-0.00049609,257.164,0,135.7110322,512.322,393.151,6.798,0,0,112.373,0,-119.4474639,14022.704,1230,0,339.704,12453,20562.57329,0,12420.57329,12420.57329,8142,0,0,0,0,0
Austria,2019,275.4887703,0,127.562,0,147.9267703,341.3284,237.5344,0,0,0,103.794,0,-65.83962973,9917.255,0,0,339.255,9578,17133.01544,0,11378.01544,11378.01544,5755,0,0,0,0,0
Belgium,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,2008,84.2,21.7,9.6,52.9,0,114.3790996,95.57909963,0,0,0,18.8,0,-30.17909963,22657.584,5146,0,16400,1111.584,22076.1791,0,21576.1791,21576.1791,500,36234.577,36234.577,0,0,0
Belgium,2009,644.2,507.5,15.5,121.2,0,646.2734627,625.9734627,0,0,0,20.3,0,-2.073462747,20652.54666,129.6,0,19371.59712,1151.349538,21907.37137,0,21406.85256,21406.85256,500.5188035,62046.814,62046.814,0,0,0
Belgium,2010,878.9,687.3,0,191.6,0,576.7,569.4,0,0,0,7.3,0,302.2,19015.0421,71.58,0,17849.12905,1094.333052,21527.08687,0,21026.63256,21026.63256,500.4543118,55829.343,55829.343,0,0,0
Belgium,2011,1738.9,728.9,49.1,960.5,0.4,2319.6,786.7,1067.9,0,450,15,0,-580.7,19087.38649,39.228,0,17509.09243,1539.066061,26281.06619,439.997,24138.11856,24138.11856,1702.950632,46959.67157,46959.67157,0,0,0
Belgium,2012,1603.2,748.9,13.1,840.8,0.4,3807.3,879.1,2915,0,0,13.2,0,-2204.1,21997.30843,26.449,162.2,20314.41172,1494.24771,24256.27227,435.88524,22451.35132,22451.35132,1369.035704,59057.13543,59057.13543,0,0,0
Belgium,2013,1442.4,541.9,4.4,895.7,0.4,638.9,635.3,0,0,0,3.6,0,803.5,19741.27661,26.167,156.25,18116.50127,1442.358342,17327.4552,431.728,15703.77656,15703.77656,1191.950635,45355.78,45355.78,0,0,0
Belgium,2014,590,370.9,11.373854,194.9,12.826146,641.8,596.909691,0,0,0,44.890309,0,-51.8,20410.76868,25.205,151.25,17927.55514,2306.758541,17390.43675,427.596,15196.74656,15196.74656,1766.094183,37564.8,37564.8,0,0,0
