config,bita,abar,sigma_e,gov,T_max_frac,loan/gdp,bailout/y,def_prob,defprob_bc,g/y,std_y,debty,avg_welf,avg_welf_b1,avg_welf_b2,avg_welf_b3,avg_welf_b4,avg_welf_b5,avg_welf_b6,avg_welf_b7,avg_welf_b8,avg_welf_b9,avg_welf_b10,avg_welf_b11,avg_welf_b12,conv,convp,iter
1,.8123223300,.2755278600,4.257078700,.1464644700,.000000000,36.39989476,.000000000,.3347101932,.3108348135,19.24645443,4.863408052,26.97911483,-.2359175530E-01,-.1176404730E-01,-.1167298510E-01,-.1148125840E-01,-.1153431050E-01,-.1141236590E-01,-.1149266810E-01,-.1207987390E-01,-.1233630700E-01,-.1284009350E-01,-.1340082150E-01,-.1471347890E-01,-.1713726140E-01,.4011177000E-03,.6642260800E-02,500
2,.8123223300,.2755278600,4.257078700,.1464644700,.1000000000,36.39994762,.3412465220E-01,.3356429047,.3108348135,19.22817039,4.848948681,24.81527577,-.4703640794,.2423322668,.2279576349,.1990412388,.1721048436,.1259208604,.9789346200E-02,-.1098975079,-.1619966177,-.2308493926,-.2955553512,-.3625560093,-.4399712270,.3119068000E-03,.6408865600E-02,500
3,.8123223300,.2755278600,4.257078700,.1464644700,.2000000000,36.39996793,.1598273138,.3646902065,.3700414446,19.20539949,4.824274374,22.69444639,-.8427298589,.4796042015,.4496927821,.3895714868,.3071952053,.1413349129,-.9055442780E-01,-.2613583097,-.3822366566,-.5138082110,-.6429720363,-.7838474910,-.9155279534,.3353121000E-03,.9551568100E-02,500
4,.8123223300,.2755278600,4.257078700,.1464644700,.3000000000,36.39997882,.3263155294,.5104596935,.5698638247,19.18074848,4.818615678,21.22018595,-1.097013337,.7616583795,.7124997669,.5917482864,.3827419890,.1063423987,-.1762797490,-.4106257777,-.5881306669,-.7791925360,-.9710550483,-1.153340230,-1.288599863,.1669351000E-03,.3281137300E-02,500
5,.8123223300,.2755278600,4.257078700,.1464644700,.4000000000,36.39998489,.6883195823,.5622918055,.6364712848,19.16249935,4.837742789,19.20481881,-1.367064017,.9583289362,.8557273506,.6032109531,.2788138764,-.5001004970E-01,-.3962808985,-.6901770452,-.9318480332,-1.187960031,-1.429425148,-1.629687388,-1.762413041,.9823390000E-04,.8055921400E-02,49
6,.8123223300,.2755278600,4.257078700,.1464644700,.5000000000,36.39962041,.9543623107,.4782145237,.5994671403,19.16590918,4.871429610,18.20889182,-1.446969692,1.100440840,.9745861768,.6754691991,.3165298777,-.6837768350E-01,-.4624909373,-.7993683977,-1.086360921,-1.371068583,-1.621754407,-1.813339948,-1.945820915,.9534300000E-04,.000000000,47
7,.8123223300,.2755278600,4.257078700,.1464644700,.6000000000,36.39995328,1.155639864,.6082611592,.8288928360,19.16352866,4.856585177,17.54275570,-1.527949302,1.213419315,1.065171171,.7234859331,.3096559297,-.1229707339,-.5544967206,-.9349003260,-1.246761700,-1.549073468,-1.802564150,-1.986668280,-2.112196938,.9672100000E-04,.000000000,47
8,.8123223300,.2755278600,4.257078700,.1464644700,.7000000000,36.39995684,1.579209031,.6058627582,.7770870337,19.14829871,4.819568060,16.67098401,-1.594209928,1.304217441,1.121294346,.7139368143,.2499736743,-.2178814279,-.6904102445,-1.095162219,-1.424597110,-1.740232703,-1.995837779,-2.179876166,-2.310287759,.8212570000E-04,.000000000,48
9,.8123223300,.2755278600,4.257078700,.1464644700,.8000000000,36.39997683,1.566702153,.6203864091,.7770870337,19.14845601,4.817348042,16.69982832,-1.592298075,1.436162371,1.226150604,.7888595423,.2965323859,-.2034347822,-.6876276646,-1.093949217,-1.422889817,-1.735191382,-1.983914858,-2.158416585,-2.283133505,.9718560000E-04,.000000000,47
10,.8123223300,.2755278600,4.257078700,.1464644700,.9000000000,36.39987840,1.671051793,.4795469687,.7548845471,19.15049037,4.817951907,15.69689833,-1.628169318,1.423800711,1.192919264,.7193688968,.1860615216,-.3299788438,-.8260903995,-1.243973563,-1.586320217,-1.908413093,-2.162192841,-2.346761671,-2.480980326,.8439690000E-04,.000000000,48
11,.8123223300,.2755278600,4.257078700,.1464644700,1.000000000,36.39988623,1.674750761,.4798134577,.7548845471,19.15049702,4.818033795,15.69656828,-1.627108454,1.494161001,1.240146268,.7350841481,.1876746159,-.3296836062,-.8257489970,-1.243651561,-1.585590389,-1.905072969,-2.154799160,-2.336723441,-2.465880514,.8398730000E-04,.000000000,48
